2026년 연간 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연번,광역자치단체명,기초자치단체명,축제명,축제 유형,개최 장소,,,,,개최기간,,,,,,,,개최 주기,"최초
개최연도",예산(백만원),,,,"국비지원
부처명",방문객수(前년),,,,,축제 주최 전담조직,,,담당자,,,,,비고
,,,,,장소명,축제 유형,,,,시작일,,,종료일,,,"총
일수",비고,,,합계,국비,지방비,"기타
(민간 등)",,전체,내국인(명),외국인(명),계측 방법,비고,전담조직명,조직형태,설립근거,소속,부서명,직급/직책,성명,연락처,비고
,,,,,장소명,축제 유형,시도,시군구,읍면동,년,월,일,년,월,일,,,,,,,,,,,,,,,,,,,,,,,
1007,15. 경북,김천시,2026 김천 전국 그래피티 페스타,01. 문화예술,감천 백사장 맨발걷기길,03. 수변형,15. 경북,김천시,지좌동,2026,6,13,2026,6,14,2,,04. 최초,2026,200,0,200,0,해당없음,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,김천시,01. 정부/지자체,,김천시,관광정책팀,주무관,류유,054-420-6633,
1008,15. 경북,김천시,제 15회 농촌체험페스티벌,05. 지역특산물,농업기술센터,04. 독립형,15. 경북,김천시,구성면,2026,9,,2026,9,,2,미정,01. 매년,2010,80,0,80,0,해당없음,"20,000","20,000",0,01. 계측,유인,김천시,01. 정부/지자체,,김천시,농촌지원과,주무관,장혜리,054-421-2553,
1009,15. 경북,김천시,2026 김천포도축제,05. 지역특산물,김천종합스포츠 타운,03. 수변형,15. 경북,김천시,대신동,2026,8,21,2026,8,23,3,,01. 매년,1998,650,0,650,0,해당없음,"80,000","80,000",0,99. 무응답,기타,김천시,01. 정부/지자체,,김천시,농식품유통과,주무관,최은옥,054-421-2532,
1010,15. 경북,김천시,한여름밤의 김천 페스타,01. 문화예술,율곡동 일원,05. 기타,15. 경북,김천시,율곡동,2026,8,21,2026,8,22,2,,04. 최초,2026,30,0,30,0,해당없음,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,김천시,01. 정부/지자체,,김천시,농식품유통과,주무관,장세정,054-421-2544,
1011,15. 경북,안동시,2026년 안동벚꽃축제,02. 자연생태,축제장길 200 일원,01. 마을형,15. 경북,안동시,중구동,2026,4,1,2026,4,5,5,,01. 매년,2008,150,0,150,0,해당없음,"200,000","200,000",0,99. 무응답,기타,(재)한국정신문화재단,02. 재단(관광/문화/예술),안동시 한국정신문화재단 설립 및 지원 조례,안동시,관광정책과,주무관,김익현,054-840-5511,
1012,15. 경북,안동시,2026년 차전장군노국공주축제,04. 전통역사,경동로 684 일원,05. 기타,15. 경북,안동시,중구동,2026,5,1,2026,5,5,5,,01. 매년,1968,"1,200",0,"1,200",0,해당없음,"250,000","250,000",0,99. 무응답,기타,안동문화원,02. 재단(관광/문화/예술),지방문화원진흥법,안동시,문화예술과,주무관,김준호,054-840-5220,
1013,15. 경북,안동시,2026년 안동수(水)페스타,03. 주민화합,정하동 635 일원,05. 기타,15. 경북,안동시,강남동,2026,7,25,2026,8,2,9,,01. 매년,2024,800,80,720,0,무응답,"186,000","186,000",0,99. 무응답,기타,(재)한국정신문화재단,02. 재단(관광/문화/예술),안동시 한국정신문화재단 설립 및 지원 조례,안동시,관광정책과,주무관,이현영,054-840-5514,
1014,15. 경북,안동시,2026년 안동국제탈춤페스티벌,04. 전통역사,축제장길 200 일원,01. 마을형,15. 경북,안동시,중구동,2026,9,25,2026,10,4,10,,01. 매년,1997,"2,000","1,160",840,0,무응답,"1,600,000","1,600,000",0,99. 무응답,기타,(재)한국정신문화재단,02. 재단(관광/문화/예술),안동시 한국정신문화재단 설립 및 지원 조례,안동시,관광정책과,주무관,김익현,054-840-5511,
1015,15. 경북,안동시,2026년 안동암산얼음축제,02. 자연생태,암산 안전체험 유원지 일원,02. 녹지형,15. 경북,안동시,남후면,2026,1,17,2026,1,25,9,,01. 매년,2009,150,0,150,0,해당없음,"297,000","297,000",0,99. 무응답,기타,(재)한국정신문화재단,02. 재단(관광/문화/예술),안동시 한국정신문화재단 설립 및 지원 조례,안동시,관광정책과,주무관,김익현,054-840-5511,
1016,15. 경북,안동시,2026 안동국가유산 야행사업(월영야행),04. 전통역사,월영교 일원,03. 수변형,15. 경북,안동시,용상동,2026,7,31,2026,8,9,10,,01. 매년,2017,530,32,499,0,국가유산청,"280,000","280,000",0,99. 무응답,기타,(재)한국정신문화재단,02. 재단(관광/문화/예술),안동시 한국정신문화재단 설립 및 지원 조례,안동시,문화유산과,주무관,임혜은,054-840-5238,
1017,15. 경북,안동시,2026 하회선유줄불놀이,04. 전통역사,하회마을 일원,01. 마을형,15. 경북,안동시,풍천면,2026,,,2026,,,,미정,01. 매년,1997,150,45,105,0,문화체육관광부,"30,000","30,000",0,99. 무응답,기타,(사)안동하회마을보존회,05. 민간 협/단체,안동시 하회마을 보전협의체 설치·운영 및 지원 조례,안동시,문화유산과,주무관,최은아,054-840-5231,
1018,15. 경북,구미시,구미국제조각페스티벌,01. 문화예술,다온숲 일원,02. 녹지형,15. 경북,구미시,양포동,2026,7,4,2026,7,5,2,,04. 최초,2026,500,0,500,0,해당없음,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,구미시,01. 정부/지자체,,구미시,문화예술과,주무관,박다인,054-480-6612,
1019,15. 경북,구미시,금오예술제,01. 문화예술,금오산 분수광장,02. 녹지형,15. 경북,구미시,선주원남동,2026,9,18,2026,9,20,3,,01. 매년,2014,240,25,215,0,무응답,"8,000","8,000",0,99. 무응답,기타,(사)한국예총 구미지회,05. 민간 협/단체,,구미시,문화예술과,주무관,박다인,054-480-6612,
1020,15. 경북,구미시,2026년 구미 일선정품 한마당 대잔치,05. 지역특산물,선산 복개천 일원(예정),03. 수변형,15. 경북,구미시,선산읍,2026,10,1,2026,10,2,2,,01. 매년,2025,80,0,80,0,해당없음,미집계,미집계,미집계,03. 미집계,,구미시,01. 정부/지자체,"지역농산물 이용촉진 등 농산물 직거래 활성화에 관한 법률,
구미시 농산물 이용촉진 등 농산물 직거래 활성화에 관한 조례",구미시,농식품산업과,주무관,김이영,054-480-5912,
1021,15. 경북,구미시,2026 구미라면축제,01. 문화예술,구미역 일원,05. 기타,15. 경북,구미시,원평동,2026,11,6,2026,11,8,3,,01. 매년,2022,850,0,850,0,해당없음,"349,705","339,825","9,880",02. 추정,통신 데이터,구미시,01. 정부/지자체,,구미시,낭만관광과,주무관,신민우,054-480-2652,
1022,15. 경북,구미시,2027 구미시 새희망 카운트다운,03. 주민화합,동락공원 일원,02. 녹지형,15. 경북,구미시,진미동,2026,12,31,2027,1,1,2,,01. 매년,2003,미확정,0,미확정,미확정,해당없음,"15,000","15,000",0,99. 무응답,기타,구미시,01. 정부/지자체,,구미시,총무과,주무관,이용석,054-480-6753,
1023,15. 경북,구미시,2026 구미푸드&테크페스티벌,01. 문화예술,송정맛길 일원,01. 마을형,15. 경북,구미시,송정동,2026,,,2026,,,,미정,01. 매년,2022,596,346,250,0,무응답,"204,372","204,372",0,02. 추정,통신 데이터,구미시,01. 정부/지자체,,구미시,위생과,주무관,신동완,054-480-5593,
1024,15. 경북,구미시,반려동물문화축제,01. 문화예술,동락공원,02. 녹지형,15. 경북,구미시,-,2026,10,,2026,10,,,미정,01. 매년,2018,30,9,21,0,무응답,700,700,0,01. 계측,유인,구미시,01. 정부/지자체,,구미시,축산과,주무관,우용덕,054-480-5847,
1025,15. 경북,구미시,2026년 구미 달달한 낭만 야시장,03. 주민화합,"새마을중앙시장, 인동시장",01. 마을형,15. 경북,구미시,"원평동, 인동동",2026,4,24,2026,10,24,12,기간 중 12회,01. 매년,2024,280,0,280,0,해당없음,"147,530","147,530",0,02. 추정,통신 데이터,구미시,01. 정부/지자체,전통시장 및 상점가 육성에 관한 특별법,구미시,일자리경제과,주무관,박지연,054-480-2633,
1026,15. 경북,구미시,고향시장행복어울림마당(새마을중앙시장),01. 문화예술,새마을중앙시장,01. 마을형,15. 경북,구미시,원평동,2026,9,,2026,9,,2,미정,01. 매년,2025,20,6,14,0,무응답,"1,000","1,000",0,99. 무응답,기타,새마을중앙시장 상인연합회,05. 민간 협/단체,전통시장 및 상점가 육성에 관한 특별법,구미시,일자리경제과,주무관,박지연,054-480-2633,
1027,15. 경북,구미시,고향시장행복어울림마당(형곡중앙시장),01. 문화예술,형곡중앙시장,01. 마을형,15. 경북,구미시,형곡동,2026,9,,2026,9,,2,미정,04. 최초,2026,20,6,14,0,무응답,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,형곡중앙시장 상인회,05. 민간 협/단체,전통시장 및 상점가 육성에 관한 특별법,구미시,일자리경제과,주무관,박지연,054-480-2633,
1028,15. 경북,구미시,고향시장행복어울림마당(선산봉황시장),01. 문화예술,선산봉황시장,02. 녹지형,15. 경북,구미시,선산읍,2026,9,,2026,9,,2,미정,01. 매년,2025,20,6,14,0,무응답,"1,000","1,000",0,99. 무응답,기타,선산봉황시장 상인회,05. 민간 협/단체,전통시장 및 상점가 육성에 관한 특별법,구미시,일자리경제과,주무관,박지연,054-480-2633,
1029,15. 경북,구미시,고향시장행복어울림마당(인동시장),01. 문화예술,인동시장,01. 마을형,15. 경북,구미시,인동동,2026,9,,2026,9,,2,미정,01. 매년,2025,20,0,20,0,해당없음,"1,000","1,000",0,99. 무응답,기타,인동시장 상인회,05. 민간 협/단체,전통시장 및 상점가 육성에 관한 특별법,구미시,일자리경제과,주무관,박지연,054-480-2633,
1030,15. 경북,구미시,문화로 상권활성화 축제,01. 문화예술,문화로 자율상권구역 일원,05. 기타,15. 경북,구미시,원평동,2026,10,,2026,10,,3,미정,04. 최초,2026,80,40,40,0,중소벤처기업부,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,구미시문화로자율상권조합,05. 민간 협/단체,"전통시장 및 상점가 육성에 관한 특별법
지역상권 상생 및 활성화에 관한 법률",구미시,일자리경제과,주무관,박민정,054-480-2622,
1031,15. 경북,영주시,영주 한국선비문화축제,01. 문화예술,"선비촌 일원(선비세상, 소수서원 등)",04. 독립형,15. 경북,영주시,순흥면,2026,5,,2026,5,,4,미정,01. 매년,2008,900,0,900,0,해당없음,"101,276","101,276",0,99. 무응답,기타,영주문화관광재단,02. 재단(관광/문화/예술),영주문화관광재단 설립 및 지원 조례,영주시,관광진흥과,주무관,장하윤,054-639-6612,
1032,15. 경북,영주시,영주 소백산철쭉제,02. 자연생태,소백산 일원,02. 녹지형,15. 경북,영주시,풍기읍,2026,5,,2026,5,,2,미정,01. 매년,1983,290,0,290,0,해당없음,"48,061","48,061",0,99. 무응답,기타,영주문화관광재단,02. 재단(관광/문화/예술),영주문화관광재단 설립 및 지원 조례,영주시,관광진흥과,주무관,장하윤,054-639-6612,
1033,15. 경북,영주시,영주 시원(ONE)페스타,03. 주민화합,문정둔치 일원,03. 수변형,15. 경북,영주시,가흥1동,2026,7,,2026,8,,3,미정,01. 매년,2023,600,0,600,0,해당없음,"57,553","57,553",0,99. 무응답,기타,영주문화관광재단,02. 재단(관광/문화/예술),영주문화관광재단 설립 및 지원 조례,영주시,관광진흥과,주무관,장하윤,054-639-6612,
1034,15. 경북,영주시,영주 무섬외나무다리축제,04. 전통역사,무섬마을 일원,01. 마을형,15. 경북,영주시,문수면,2026,10,,2026,10,,2,미정,01. 매년,2005,280,0,280,0,해당없음,"17,834","17,834",0,99. 무응답,기타,영주문화관광재단,02. 재단(관광/문화/예술),영주문화관광재단 설립 및 지원 조례,영주시,관광진흥과,주무관,조경식,054-639-6613,
1035,15. 경북,영주시,경북영주 풍기인삼축제,05. 지역특산물,풍기읍 남원천 및 인삼문화팝업공원 일원,02. 녹지형,15. 경북,영주시,풍기읍,2026,10,,2026,10,,9,미정,01. 매년,1998,"1,070",0,"1,070",0,해당없음,"497,419","497,419",0,99. 무응답,기타,영주풍기인삼축제조직위원회,04. 지자체 위원회,영주시 축제 육성 및 지원에 관한 조례,영주시,관광진흥과,주무관,장하윤,054-639-6612,
1036,15. 경북,영주시,영주장날 농특산물대축제,05. 지역특산물,미정,06. 미정,15. 경북,영주시,-,2026,11,,2026,11,,3,미정,01. 매년,2023,600,0,600,0,해당없음,"74,068","74,068",0,99. 무응답,기타,영주문화관광재단,02. 재단(관광/문화/예술),영주문화관광재단 설립 및 지원 조례,영주시,관광진흥과,주무관,황운경,054-639-6614,
1037,15. 경북,영천시,제24회 영천한약축제,05. 지역특산물,영천한의마을(예정),01. 마을형,15. 경북,영천시,화룡동,2026,,,2026,,,3,미정,01. 매년,2003,400,0,400,0,해당없음,"50,000","50,000",0,01. 계측,유인,영천한방산업발전협의회,05. 민간 협/단체,"경상북도 지역축제 지원 조례 제2조
영천시 농어업,농어촌 및 식품산업 지원에 관한 조례
제7조(농어업, 농어촌 및 식품산업 발전)",영천시,친환경농업과,주무관,윤병찬,054-339-7276,
1038,15. 경북,영천시,2026년 영천별빛한우 구이축제,05. 지역특산물,영천강변공원 일원,02. 녹지형,15. 경북,영천시,중앙동,2026,9,,2026,9,,2,미정,01. 매년,2020,35,0,35,0,해당없음,"40,000","40,000",0,01. 계측,유인,영천별빛한우사업단,05. 민간 협/단체,축산농협한우브랜드 사업단 정관,영천시,축산과,주무관,한철환,054-339-7322,
1039,15. 경북,영천시,제14회 영천와인페스타,05. 지역특산물,영천강변공원,03. 수변형,15. 경북,영천시,중앙동,2026,10,,2026,10,,2,미정,01. 매년,2013,150,0,150,0,해당없음,"30,000","30,000",0,99. 무응답,기타,(사)영천와인사업단,05. 민간 협/단체,내부규정,영천시,기술지원과,주무관,황인영,054-339-7407,
1040,15. 경북,영천시,제23회 영천보현산별빛축제,05. 지역특산물,영천보현산천문과학관 일원,03. 수변형,15. 경북,영천시,화북면,2026,10,,2026,10,,3,미정,01. 매년,2002,405,55,350,0,무응답,"32,106","32,106",0,01. 계측,유인,영천보현산별빛축제위원회,04. 지자체 위원회,내부규정,영천시,관광진흥과,주무관,최진섭,054-330-6702,
1041,15. 경북,영천시,제6회 중악 팔공산 은빛문화제,03. 주민화합,은해사,04. 독립형,15. 경북,영천시,청통면,2026,9,19,2026,9,20,2,,01. 매년,2021,342,49,293,0,무응답,"4,000","4,000",0,99. 무응답,기타,영천시,01. 정부/지자체,,영천시,문화예술과,주무관,전은영,054-330-6867,
1042,15. 경북,영천시,제52회 영천문화예술제,01. 문화예술,영천강변공원 일원,02. 녹지형,15. 경북,영천시,중앙동,2026,10,,2026,10,,,미정,01. 매년,1974,260,0,260,0,해당없음,"30,000","30,000",0,99. 무응답,기타,영천문화예술제 추진위원회,04. 지자체 위원회,내부규정,영천시,문화예술과,주무관,이기봉,054-330-6365,
1043,15. 경북,영천시,신성일기념관 영화제,01. 문화예술,신성일기념관 광장,04. 독립형,15. 경북,영천시,괴연동,2026,9,16,2026,9,18,3,,04. 최초,2026,200,20,180,0,무응답,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,영천시,01. 정부/지자체,,영천시,문화예술과,주무관,이다연,054-330-6366,
1044,15. 경북,상주시,2026 상주곶감축제,05. 지역특산물,태평성대 경상감영공원,02. 녹지형,15. 경북,상주시,복룡동,2026,1,23,2026,1,25,3,,01. 매년,2006,795,0,795,0,해당없음,"111,100","111,100",0,02. 추정,통신 데이터,상주시곶감축제추진위원회,04. 지자체 위원회,상주시 축제추진위원회 설치 및 운영조례,상주시 ,산림녹지과,주무관,이환구,054-537-7529,
1045,15. 경북,상주시,2026 벚꽃에 물든 상상주도 비박 페스티벌,03. 주민화합,북천시민공원 일원,02. 녹지형,15. 경북,상주시,복룡동,2026,4,4,2026,4,5,2,,01. 매년,2023,107,32,75,0,무응답,"1,000","1,000",0,01. 계측,유인,경북 상주시,01. 정부/지자체,상주시 지방보조금 관리 조례,상주시 ,관광진흥과,주무관,김예진,054-537-7108,
1046,15. 경북,상주시,2026 상주 슬로라이프 페스티벌,03. 주민화합,함창명주테마파크 일원,04. 독립형,15. 경북,상주시,함창읍,2026,9,12,2026,9,13,2,,01. 매년,2023,80,10,70,0,무응답,"11,000","11,000",0,01. 계측,유인,상주슬로시티주민협의회,05. 민간 협/단체,상주시 슬로시티 지원 및 운영에 관한 조례,상주시 ,관광진흥과,주무관,구순목,054-537-7103,
1047,15. 경북,상주시,2026 낙동강 수상레저 페스타,03. 주민화합,상주보수상레저센터 및 경천섬 일원,03. 수변형,15. 경북,상주시,도남동,2026,,,2026,,,,미정,01. 매년,2023,150,45,105,0,무응답,"2,500","2,500",0,01. 계측,유인,한국해양소년단연맹,05. 민간 협/단체,한국해양소년단연맹 육성에 관한 법률,상주시 ,관광진흥과,주무관,배정아,054-537-7109,
1048,15. 경북,상주시,2026 상주세계 모자페스티벌,03. 주민화합,태평성대 경상감영공원,02. 녹지형,15. 경북,상주시,복룡동,2026,,,2026,,,,미정,01. 매년,2023,"1,560",0,"1,560",0,해당없음,"102,943","102,615",328,01. 계측,유인,상주시 축제추진위원회,04. 지자체 위원회,상주시 축제추진위원회 설치 및 운영조례,상주시 ,관광진흥과,주무관,김예진,054-537-7108,
1049,15. 경북,상주시,만화웹툰페스티벌(전국 중고등 웹툰왕전),01. 문화예술,"상주시립도서관, 시민문화공원",02. 녹지형,15. 경북,상주시,복룡동,2026,,,2026,,,2,미정,01. 매년,2024,60,0,60,0,해당없음,"3,000","3,000",0,01. 계측,무인,평생학습원,01. 정부/지자체,지역 진흥시책 기본지침(문화체육관광부),상주시 ,평생학습원,주무관,김혜경,054-537-5572,
1050,15. 경북,문경시,제28회 문경찻사발축제,01. 문화예술,문경새재오픈세트장 일원,02. 녹지형,15. 경북,문경시,문경읍,2026,5,1,2026,5,10,10,,01. 매년,1999,"1,500",870,630,0,무응답,"240,957","240,957",0,01. 계측,무인,문경관광공사,02. 재단(관광/문화/예술),문경시 문경관광공사 설립 및 운영에 관한 조례,문경시,관광진흥과,주무관,김상수,054-550-6395,
1051,15. 경북,문경시,제22회 문경오미자축제,05. 지역특산물,문경시 동로면 일대,05. 기타,15. 경북,문경시,적성리,2026,9,,2026,9,,3,미정,01. 매년,2005,400,0,400,0,해당없음,"67,000","67,000",0,01. 계측,무인,문경관광공사,02. 재단(관광/문화/예술),문경시 문경관광공사 설립 및 운영에 관한 조례,문경시,농정과,주무관,황석현,054-550-6889,
1052,15. 경북,문경시,제15회 문경약돌한우축제,05. 지역특산물,문경새재 일원,02. 녹지형,15. 경북,문경시,문경읍,2026,10,9,2026,10,11,3,,01. 매년,2010,450,0,450,0,해당없음,"130,000","130,000",0,01. 계측,무인,문경관광공사,02. 재단(관광/문화/예술),문경시 문경관광공사 설립 및 운영에 관한 조례,문경시,유통축산과,팀장,배찬의,054-550-6288,
1053,15. 경북,문경시,제21회 문경사과축제,05. 지역특산물,문경새재 일원,02. 녹지형,15. 경북,문경시,문경읍,2026,10,,2026,10,,16,미정,01. 매년,2006,670,0,670,0,해당없음,"463,000","463,000",0,01. 계측,무인,문경관광공사,02. 재단(관광/문화/예술),문경시 문경관광공사 설립 및 운영에 관한 조례,문경시,농정과,주무관,이진주,054-550-6886,
1054,15. 경북,문경시,2026 문경 좀비워터나이트,01. 문화예술,문경 에코월드 일원,04. 독립형,15. 경북,문경시,가은읍,2026,8,14,2026,8,15,2,,01. 매년,2019,90,0,90,0,해당없음,"4,500","4,500",0,01. 계측,무인,문경관광공사,02. 재단(관광/문화/예술),문경시 문경관광공사 설립 및 운영에 관한 조례,문경시,관광진흥과,주무관,박지현,054-550-6393,
1055,15. 경북,문경시,제2회 점촌점빵길 빵 축제,05. 지역특산물,점촌점빵길 일원,05. 기타,15. 경북,문경시,점촌동,2026,4,24,2026,4,26,3,,01. 매년,2025,290,0,290,0,해당없음,"30,000","30,000",0,99. 무응답,기타,(재)문경시상권활성화재단,02. 재단(관광/문화/예술),문경시 상권활성화재단 설립 및 운영에 관한 조례,문경시,일자리경제과,주무관,최유리,054-550-6487,
1056,15. 경북,경산시,2026년 제48회 경산자인단오제,04. 전통역사,자인면 계정숲 일원,02. 녹지형,15. 경북,경산시,자인면,2026,6,19,2026,6,21,3,,01. 매년,1970,617,185,432,0,무응답,"50,000","50,000",0,99. 무응답,기타,(사)경산자인단오제보존회,05. 민간 협/단체,문화체육관광부 및 문화재청 소관 비영리 법인의 설립 및 감독에 관한규칙,경산시,문화관광과,주무관,손미영,053-810-5357,
1057,15. 경북,경산시,2026년 제25회 경산갓바위소원성취축제,04. 전통역사,경산 갓바위 공영 주차장 일원,02. 녹지형,15. 경북,경산시,자인면,2026,9,,2026,9,,2,미정,01. 매년,1998,260,10,250,0,무응답,"10,307","10,307",0,01. 계측,유인,(재)경산문화관광재단,02. 재단(관광/문화/예술),경산문화관광재단 설립 및 운영에 관한 조례,경산시,문화관광과,주무관,손미영,053-810-5357,
1058,15. 경북,경산시,제3회 경산반려문화축제,01. 문화예술,남천강변 일원,03. 수변형,15. 경북,경산시,옥곡동,2026,,,2026,,,2,미정,02. 격년,2023,100,0,100,0,해당없음,"6,000","6,000",0,99. 무응답,기타,(재)경산문화관광재단,02. 재단(관광/문화/예술),경산문화관광재단 설립 및 운영에 관한 조례,경산시,문화관광과,주무관,손미영,053-810-5357,
1059,15. 경북,경산시,제16회 경산대추축제,05. 지역특산물,경산생활체육공원 온마루 광장,02. 녹지형,15. 경북,경산시,상방동,2026,10,16,2026,10,18,3,,01. 매년,2012,170,0,170,0,해당없음,"35,000","35,000",0,99. 무응답,기타,(재)경산문화관광재단,02. 재단(관광/문화/예술),경산문화관광재단 설립 및 운영에 관한 조례,경산시,농정유통과,팀장,최미영,053-810-6707,
1060,15. 경북,의성군,제19회 산수유마을꽃맞이행사,02. 자연생태,의성군 사곡면 화전리 일원,05. 기타,15. 경북,의성군,사곡면,2026,3,21,2026,3,29,9,,01. 매년,2007,250,0,250,0,해당없음,"200,000","200,000",0,02. 추정,통신 데이터,의성군축제추진위원회,04. 지자체 위원회,의성군 축제 지원 및 운영 조례,의성군,관광문화과,주무관,윤지후,054-830-6578,방문자 수 재작년
1061,15. 경북,의성군,제4회 남대천벚꽃축제,02. 자연생태,의성군 의성읍 남대천 일원,03. 수변형,15. 경북,의성군,의성읍,2026,4,4,2026,4,5,2,,01. 매년,2021,150,0,150,0,해당없음,"5,000","5,000",0,02. 추정,통신 데이터,의성청년회의소,05. 민간 협/단체,청년위원회의 설치 및 운영에 관한 규정,의성군,관광문화과,주무관,윤지후,054-830-6578,방문자 수 재작년
1062,15. 경북,의성군,제9회 의성슈퍼푸드마늘축제,05. 지역특산물,의성군 의성읍 남대천 일원,03. 수변형,15. 경북,의성군,의성읍,2026,9,11,2026,9,13,3,,01. 매년,2018,"1,000",0,"1,000",0,해당없음,"53,104","53,104",0,02. 추정,통신 데이터,의성군축제추진위원회,04. 지자체 위원회,의성군 축제 지원 및 운영 조례,의성군,관광문화과,주무관,윤지후,054-830-6578,
1063,15. 경북,청송군,제20회 청송사과축제,05. 지역특산물,청송군 청송읍 용전천 현비암 일원,03. 수변형,15. 경북,청송군,청송읍,2026,10,28,2026,11,1,5,,01. 매년,2004,955,55,900,0,무응답,"310,317","310,317",0,01. 계측,유인,청송군축제추진위원회,03. 기타 공공,청송군 축제추진위원회 설치 및 운영 조례,청송군,관광정책과,주무관,김세림,054-870-6237,
1064,15. 경북,청송군,청송백자 축제,01. 문화예술,도예촌 일원(청송군 주왕산면 주왕산로 494),01. 마을형,15. 경북,청송군,주왕산면,2026,9,11,2026,9,13,3,,01. 매년,2023,230,10,220,0,무응답,미집계,미집계,미집계,03. 미집계,,(재)청송문화관광재단,02. 재단(관광/문화/예술),청송군 (재)청송문화관광재단 설립에 관한 조례,(재)청송문화관광재단,사업운영팀,대리,김지환,054-874-9006,
1065,15. 경북,영양군,제3회 영양꽁꽁겨울축제,03. 주민화합,영양읍 현리 빙상장 일원,04. 독립형,15. 경북,영양군,영양읍,2026,1,9,2026,1,25,17,,01. 매년,2024,225,0,225,0,해당없음,"30,521","30,521",0,01. 계측,티켓판매,영양군체육회,05. 민간 협/단체,영양군 체육진흥협의회 조직 운영에 관한 조례,영양군,문화관광과,주무관,김상유,054-680-6453,
1066,15. 경북,영양군,제21회 영양 산나물축제,05. 지역특산물,영양 군청 및 읍 시가지 일원,04. 독립형,15. 경북,영양군,영양읍,2026,5,7,2026,5,10,4,,01. 매년,2005,792,0,792,0,해당없음,"35,296","35,280",16,02. 추정,통신 데이터,영양축제관광재단,02. 재단(관광/문화/예술),영양군 재단법인 영양축제관광재단 설립 및 지원에 관한 조례,영양군,문화관광과,주무관,김윤라,054-680-6411,
1067,15. 경북,영양군,제3회 선바위퐁당퐁당물놀이축제,03. 주민화합,입암 선바위 관광지 일원,04. 독립형,15. 경북,영양군,입암면,2026,7,25,2026,8,9,16,,01. 매년,2023,150,0,150,0,해당없음,"6,400","6,400",0,02. 추정,주차면수,영양군체육회,05. 민간 협/단체,영양군 체육진흥협의회 조직 운영에 관한 조례,영양군,문화관광과,주무관,김상유,054-680-6453,
1068,15. 경북,영양군,2026년 별빛반딧불이체험축제,02. 자연생태,밤하늘보호공원 일원,02. 녹지형,15. 경북,영양군,수비면,2026,8,28,2026,8,29,2,,01. 매년,2019,60,0,60,0,해당없음,"1,500","1,500",0,02. 추정,주차면수,영양축제관광재단,02. 재단(관광/문화/예술),영양군 재단법인 영양축제관광재단 설립 및 지원에 관한 조례,영양군,생태공원사업소,주무관,김경호,054-680-5331,
1069,15. 경북,영양군,제18회 영양고추 H.O.T Festival,05. 지역특산물,서울광장,02. 녹지형,01. 서울,중구,-,2026,8,29,2026,8,31,3,,01. 매년,2007,450,0,450,0,해당없음,"150,000","150,000",0,99. 무응답,기타,영양축제관광재단,02. 재단(관광/문화/예술),,영양군,유통지원과,주무관,김아람,054-680-6381,
1070,15. 경북,영덕군,제29회 영덕대게축제,05. 지역특산물,강구 해파랑공원,02. 녹지형,15. 경북,영덕군,강구면,2026,3,26,2026,3,29,4,,01. 매년,1998,800,0,800,0,해당없음,"100,821","100,821",0,99. 무응답,기타,영덕대게축제추진위원회,04. 지자체 위원회,영덕군 지역축제 육성 및 운영에 관한 조례,영덕군,문화관광과,주무관,박대경,054-730-6393,
1071,15. 경북,영덕군,제20회 영덕물가자미축제,05. 지역특산물,영덕군 축산면 축산항,03. 수변형,15. 경북,영덕군,축산면,2026,5,,2026,5,,3,미정,01. 매년,2007,250,0,250,0,해당없음,"13,700","13,700",0,99. 무응답,기타,영덕물가자미축제추진위원회,04. 지자체 위원회,영덕군 지역축제 육성 및 운영에 관한 조례,영덕군,일자리경제과,주무관,신충식,054-730-6233,
1072,15. 경북,영덕군,영덕황금은어축제,05. 지역특산물,영덕읍 오십천,03. 수변형,15. 경북,영덕군,영덕읍,2026,7,,2026,8,,3,미정,01. 매년,1999,250,0,250,0,해당없음,"15,790","15,790",0,99. 무응답,기타,영덕황금은어축제추진위원회,04. 지자체 위원회,영덕군 지역축제 육성 및 운영에 관한 조례,영덕군,해양수산과,주무관,송승욱,054-730-6756,
1073,15. 경북,청도군,청도유천문화거리축제,01. 문화예술,유천문화마을,01. 마을형,15. 경북,청도군,청도읍,2026,3,,2026,3,,2,미정,04. 최초,2026,105,25,80,0,무응답,최초 개최,최초 개최,최초 개최,04. 기타,최초 개최,청도군,01. 정부/지자체,청도군 축제 등에 관한 육성 및 운영 조례,청도군,관광정책과,주무관,윤정희,054-370-2211,
